year,category,category_canonical,initiative,initiative_canonical,award_type,member,organization,program,ein,amount,agency,purpose
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Levin,"Hollaback, Inc.",,273199988,3500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Van Bramer,Hour Children,,133647412,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Garodnick,"Housing Conservation Coordinators, Inc.",,510141489,3500,,"Cohen Jewish Board of Family and Children's Services, Inc. (aka Pride of"
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,Judea),,135564937,25000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Greenfield Jewish Community Council of Greater Coney Island, Inc.",,112665181,20000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Treyger,"Jewish Community Council of Greater Coney Island, Inc.",,112665181,30000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,,"Vacca Jewish Community Council of Pelham Parkway, Inc.",,133099520,18000,,New York City Council Finance Division Page 13
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Ulrich,"Jewish Community Council of the Rockaway Peninsula, Inc.",,112425813,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Menchaca,"Juan Neumann Center, Inc.",,861081834,5000,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,member_item,Lancman,"Kew Gardens Hills Community Foundation, Inc.",,510506762,3500,,
FY15,ANTI-POVERTY INITIATIVE,Anti-Poverty,Anti-Poverty Initiative,Anti-Poverty Initiative,initiative_provider,Cohen,Kingsbridge Riverdale Van Cortlandt Development Corporation,,133097905,15000,,
