member,organization,program,ein,amount,purpose
Stevens,"BronxWorks, Inc.",NORC - Woodstock Terrace - Council District 16,133254484,5000,Funds will be used to support social services program for the Naturally Occurring Retirement Community (NORC) at Woodstock Terrace.
Brannan,Brooklyn Academy of Music,Cultural & Arts Programming for Seniors,112201344,5000,"To support cultural and arts talks, Q&As, workshops, and other programming for seniors."
Louis,Brooklyn Academy of Music,Senior & Education Program,112201344,6000,Funds will support senior programming for seniors in Council District 45.
Hudson,Brooklyn Academy of Music,Senior & Education Programming - District 35,112201344,10000,"Funding to support ElderPride, including programming and recreational services in District 35. Appendix A: Aging Discretionary Page 4 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Louis,"Brooklyn Arts Council, Inc.",Council District 45,237072915,12000,Funds will be used to support arts programs and services for seniors in Council District 45 including Arts in Education programs.
Restler,Brooklyn Bureau of Community Services,Lifelong Enrichment Program - Council District 33,111630780,5000,To support services and activities to senior citizens in Council District 33 with developmental disabilities who are over age 50.
Narcisse,"Brooklyn Chinese-American Association, Inc.",Avenue U Senior Center,113065859,10000,Funding to support recreational and educational activities for seniors at Avenue U Senior Center.
Yeger,"Brooklyn Chinese-American Association, Inc.",Bensonhurst Senior Center,113065859,7500,"Funds will be used for educational and recreational activities, as well as to defray cost of facility rental at the Bensonhurst Senior Center."
Brannan,"Brooklyn Chinese-American Association, Inc.",Senior Center Programming - Council District 43,113065859,1500,To support recreational and social programming for seniors residents of Council District 43.
Aviles,"Brooklyn Chinese-American Association, Inc.",Sunset Park Senior Center & Sixth Avenue Senior Center - Senior Services,113065859,10000,Funds will support senior services at Sunset Park Senior Center and Sixth Avenue Senior Center.
Hudson,"Brooklyn Community Pride Center, Inc.",LGBTQ+ Elder Programming - District 35,262214534,5000,"Funding to support ElderPride, LGBTQ+ Social Isolations Programs (Elders) & Health and Wellness Programs (Elders), including programming and recreational services."
Hudson,Brooklyn Defender Services,Civil Justice Program & Community Office - Council District 35,113305406,5000,Funding to support operational expenses of the Civil Justice Program for the senior population.
Adams,"Brooks Senior Center, Inc.",Senior Services,112329979,20000,Funds will support the Centers operational costs and programmatic needs.
Carr,Carmel Richmond Nursing Home,,132720248,17000,"Funds will support improved infection prevention and control measures in the nursing home, and partially support the salary of a Infection Control Nurse."
Menin,"Carnegie East House (Housing Development Fund Company, Inc.)",,133436898,5000,Funding will support nursing care including health monitoring and personal care.
Ayala,"Carter Burden Center for the Aging, Inc., The",Lehman Senior Center,237129499,5000,To provide senior services at Lehman Senior Center.
Ayala,"Carter Burden Center for the Aging, Inc., The",Lehman Senior Center,237129499,5000,"To provide funding for daily programming related to education, wellness, recreation, and free meals."
Ayala,"Carter Burden Center for the Aging, Inc., The",Leonard Covello Senior Center,237129499,10000,"To provide funding for daily programming related to education, wellness, recreation, and free meals."
Powers,"Carter Burden Center for the Aging, Inc., The",Luncheon Club & Senior Program,237129499,5000,Funding will support the Carter Burden Luncheon Club and Senior program.
Restler,"Catholic Charities Neighborhood Services, Inc.",,112047151,15000,To fund a meal and outing for seniors in Council District 33.
Vernikov,"Catholic Charities Neighborhood Services, Inc.",Bay Senior Center,112047151,5000,Funding to support operating and educational programming at Bay Senior Center.
